
==============================================================================
ASSIGNMENTS  (graded work + graded quizzes)  (233)
     266480  2.2-2.5, atomic weight part 3, Daily Homework                 https://loyolahs.instructure.com/courses/6624/assignments/266480
     266481  2.6, Nomenclature part 1.                                     https://loyolahs.instructure.com/courses/6624/assignments/266481
     266482  2.6, Nomenclature part 2.                                     https://loyolahs.instructure.com/courses/6624/assignments/266482
     266483  2.6, Nomenclature part 3.                                     https://loyolahs.instructure.com/courses/6624/assignments/266483
     266491  3.1 Balancing Equations, Daily Homework                       https://loyolahs.instructure.com/courses/6624/assignments/266491
     266493  3.2 Types of Reactions, Daily Homework                        https://loyolahs.instructure.com/courses/6624/assignments/266493
     266495  3.3 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266495
     266497  3.4 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266497
     266498  3.5 part 1, Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266498
     266499  3.5 part 2, Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266499
     266501  3.6 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266501
     266504  3.7 Daily Homework, part 1                                    https://loyolahs.instructure.com/courses/6624/assignments/266504
     266505  3.7 Daily Homework, part 2                                    https://loyolahs.instructure.com/courses/6624/assignments/266505
     266506  4.1 and 4.3 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266506
     266510  4.2, part 1, Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266510
     266508  4.2 part 2, double displacement Daily Homework                https://loyolahs.instructure.com/courses/6624/assignments/266508
     266511  4.3 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266511
     266513  4.5 and 4.6 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266513
     266515  5.1 to 5.3 Daily Homework                                     https://loyolahs.instructure.com/courses/6624/assignments/266515
     266517  5.4  Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266517
     266518  5.5 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266518
     266519  5.6 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266519
     266520  5.7 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266520
     266521  6.1 - 6.4 Daily Homework                                      https://loyolahs.instructure.com/courses/6624/assignments/266521
     266523  6.5 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266523
     266525  7.2-7.4 Daily Homework                                        https://loyolahs.instructure.com/courses/6624/assignments/266525
     266527  8.1, 8.3, 8.4, 8.5 Daily Homework                             https://loyolahs.instructure.com/courses/6624/assignments/266527
     266530  9.1 - 9.2 Daily Homework                                      https://loyolahs.instructure.com/courses/6624/assignments/266530
     266528  8.2, 8.6-8.8 Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266528
     266533  9.3 Daily Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266533
     266607  Le Chatliers Worksheet                                        https://loyolahs.instructure.com/courses/6624/assignments/266607
     266621  Programming With SNAP! course                                 https://loyolahs.instructure.com/courses/6624/assignments/266621
     266543  Chapters 15.5 & 15.6: Solving Equilibrium Problems            https://loyolahs.instructure.com/courses/6624/assignments/266543
     266644  The Potion Master's pH Lab                                    https://loyolahs.instructure.com/courses/6624/assignments/266644
     266548  Electrochemistry Worksheet                                    https://loyolahs.instructure.com/courses/6624/assignments/266548
     266586  Chapter 1 Homework part 1                                     https://loyolahs.instructure.com/courses/6624/assignments/266586
     266587  Chapter 1 Homework part 2                                     https://loyolahs.instructure.com/courses/6624/assignments/266587
     266588  Chapter 2 Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266588
     266589  Chapter 3 Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266589
     266590  Chapter 4 Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266590
     266591  Chapter 5 Homework                                            https://loyolahs.instructure.com/courses/6624/assignments/266591
     266592  Chapter 6-9 Homework                                          https://loyolahs.instructure.com/courses/6624/assignments/266592
     266535  Chapter 10 Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266535
     266537  Chapter 11-12 Homework                                        https://loyolahs.instructure.com/courses/6624/assignments/266537
     266538  Chapter 13 Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266538
     266539  Chapter 14 Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266539
     266540  Chapter 15 Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266540
     266541  Chapter 16 Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266541
     266542  Chapter 19,20 Homework                                        https://loyolahs.instructure.com/courses/6624/assignments/266542
     266633  SNAP! Entropy                                                 https://loyolahs.instructure.com/courses/6624/assignments/266633
     266634  SNAP! Equilibrium                                             https://loyolahs.instructure.com/courses/6624/assignments/266634
     266414  1.1, Material Classification, Daily Homework Practice         https://loyolahs.instructure.com/courses/6624/assignments/266414
     266416  1.4 to 1.5 units and sig figs Daily Homework Practice         https://loyolahs.instructure.com/courses/6624/assignments/266416
     266418  1.5, operations with sig figs, Daily Homework Practice        https://loyolahs.instructure.com/courses/6624/assignments/266418
     266420  1.6, Dimensional analysis part 1, Daily Homework Practice     https://loyolahs.instructure.com/courses/6624/assignments/266420
     266422  1.6, Dimensional analysis part 2, Daily Homework Practice     https://loyolahs.instructure.com/courses/6624/assignments/266422
     266425  10.2 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266425
     266426  10.3 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266426
     266429  10.4 - 10.5 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266429
     266431  10.6 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266431
